Gene_1	Gene_2
YAL021C	YHR090C
YAL021C	YHR118C
YAL021C	YHR129C
YAL021C	YHR167W
YAL021C	YHR178W
YAL021C	YIR009W
YAL021C	YJL029C
YAL021C	YJL115W
YAL021C	YJL124C
YAL021C	YJL148W
YAL021C	YJL194W
YAL021C	YJL204C
YAL021C	YKL139W
YAL021C	YKL204W
YAL021C	YKL212W
YAL021C	YKR001C
YAL021C	YLR079W
YAL021C	YLR182W
YAL021C	YLR226W
YAL021C	YLR320W
YAL021C	YLR371W
YAL021C	YLR396C
YAL021C	YLR417W
YAL021C	YLR418C
YAL021C	YLR418C
YAL021C	YML032C
YAL021C	YML032C
YAL021C	YMR198W
YAL021C	YMR199W
YAL021C	YMR202W
YAL021C	YMR224C
YAL021C	YMR224C
YAL021C	YNL084C
YAL021C	YNL086W
YAL021C	YNL147W
YAL021C	YNL250W
YAL021C	YNL250W
YAL021C	YNL297C
YAL021C	YOL051W
YAL021C	YOL149W
YAL021C	YOR046C
YAL021C	YOR151C
YAL021C	YPL002C
YAL021C	YPL084W
YAL021C	YPL097W
YAL021C	YPL153C
YAL021C	YPL256C
YAL021C	YPR052C
YAL021C	YPR072W
YAL021C	YPR072W
YAL021C	YPR072W
YAL021C	YPR141C
YAL021C	YPR164W
YAL023C	YHR129C
YAL023C	YJR143C
YAL023C	YKL190W
YAL023C	YOR002W
YAL023C	YOR008C
YAL023C	YPL240C
YAL024C	YAL013W
YAL024C	YAL041W
YAL024C	YBL058W
YAL024C	YBR200W
YAL024C	YCL016C
YAL024C	YCL016C
YAL024C	YCL016C
YAL024C	YDL013W
YAL024C	YDL074C
YAL024C	YDL074C
YAL024C	YDL115C
YAL024C	YDR150W
YAL024C	YDR159W
YAL024C	YDR207C
YAL024C	YDR310C
YAL024C	YDR432W
YAL024C	YDR532C
YAL024C	YEL061C
YAL024C	YER016W
YAL024C	YER016W
YAL024C	YER073W
YAL024C	YFL024C
YAL024C	YFR028C
YAL024C	YGL058W
YAL024C	YGL066W
YAL024C	YGL116W
YAL024C	YGR098C
YAL024C	YGR098C
YAL024C	YGR180C
YAL024C	YHL007C
YAL024C	YHL007C
YAL024C	YHL007C
YAL024C	YHL007C
YAL024C	YHL007C
YAL024C	YHL007C
YAL024C	YHR041C
YAL024C	YHR090C
YAL024C	YHR119W
YAL024C	YHR152W
YAL024C	YHR152W
YAL024C	YHR152W
YAL024C	YHR152W
YAL024C	YHR178W
YAL024C	YHR191C
YAL024C	YHR191C
YAL024C	YHR200W
YAL024C	YHR200W
YAL024C	YIL084C
YAL024C	YIL106W
YAL024C	YJL080C
YAL024C	YJR043C
YAL024C	YJR043C
YAL024C	YJR053W
YAL024C	YJR055W
YAL024C	YJR074W
YAL024C	YKL006W
YAL024C	YKL113C
YAL024C	YKR061W
YAL024C	YLR027C
YAL024C	YLR055C
YAL024C	YLR079W
YAL024C	YLR102C
YAL024C	YLR103C
YAL024C	YLR229C
YAL024C	YLR229C
YAL024C	YLR229C
YAL024C	YLR234W
YAL024C	YLR320W
YAL024C	YLR357W
YAL024C	YLR370C
YAL024C	YLR410W
YAL024C	YML036W
YAL024C	YMR078C
YAL024C	YMR078C
YAL024C	YMR078C
YAL024C	YMR165C
YAL024C	YMR179W
YAL024C	YMR198W
YAL024C	YMR205C
YAL024C	YMR263W
YAL024C	YMR263W
YAL024C	YMR294W
YAL024C	YNL064C
YAL024C	YNL097C
YAL024C	YNL199C
YAL024C	YNL294C
YAL024C	YNL330C
YAL024C	YNL330C
YAL024C	YNL330C
YAL024C	YOL004W
YAL024C	YOL004W
YAL024C	YOR080W
YAL024C	YOR080W
YAL024C	YOR195W
YAL024C	YOR195W
YAL024C	YOR195W
YAL024C	YOR195W
YAL024C	YOR209C
YAL024C	YOR211C
YAL024C	YOR233W
YAL024C	YOR244W
YAL024C	YOR295W
YAL024C	YOR304W
YAL024C	YPL084W
YAL024C	YPL161C
YAL024C	YPL188W
YAL024C	YPL240C
YAL024C	YPR135W
YAL024C	YPR135W
YAL024C	YPR141C
YAL025C	YNL271C
YAL026C	YBL007C
YAL026C	YDL192W
YAL026C	YDL192W
YAL026C	YDL226C
YAL026C	YDR358W
YAL026C	YER031C
YAL026C	YGL206C
YAL026C	YGR166W
YAL026C	YHR090C
YAL026C	YHR108W
YAL026C	YIL048W
YAL026C	YIR006C
YAL026C	YIR006C
YAL026C	YJL099W
YAL026C	YKL190W
YAL026C	YLR337C
YAL026C	YML008C
YAL026C	YML094W
YAL026C	YNL267W
YAL026C	YNL271C
YAL026C	YNL271C
YAL026C	YOR115C
YAL026C	YOR244W
YAL026C	YPL155C
YAL027W	YGR274C
YAL028W	YOR324C
YAL030W	YBL050W
YAL030W	YDL226C
YAL030W	YGL206C
YAL030W	YGR009C
YAL030W	YGR009C
YAL030W	YKR001C
YAL030W	YLR240W
YAL030W	YMR183C
YAL030W	YOR036W
YAL030W	YOR106W
YAL030W	YOR327C
YAL030W	YOR327C
YAL032C	YBR188C
YAL032C	YDR088C
YAL032C	YDR364C
YAL032C	YDR416W
YAL032C	YER013W
YAL032C	YGR006W
YAL032C	YLR117C
YAL032C	YMR213W
YAL032C	YMR224C
YAL033W	YLR418C
YAL033W	YMR190C
YAL034W-A	YGR188C
YAL034W-A	YJR112W
YAL034W-A	YMR224C
YAL035W	YHR090C
YAL038W	YBR218C
YAL038W	YGR188C
YAL038W	YMR190C
YAL038W	YNL271C
YAL038W	YOR347C
YAL039C	YGR029W
YAL040C	YAL021C
YAL040C	YDL047W
YAL040C	YDL047W
YAL040C	YER111C
YAL040C	YER167W
YAL040C	YER167W
YAL040C	YER167W
YAL040C	YER167W
YAL040C	YER167W
YAL040C	YGR229C
YAL040C	YLR452C
YAL040C	YMR052W
YAL040C	YMR199W
YAL040C	YMR199W
YAL040C	YPL031C
YAL040C	YPL075W
YAL040C	YPL256C
YAL040C	YPL256C
YAL041W	YAL024C
YAL041W	YBR200W
YAL041W	YBR200W
YAL041W	YER095W
YAL041W	YGL233W
YAL041W	YGL244W
YAL041W	YGR070W
YAL041W	YGR188C
YAL041W	YKL049C
YAL041W	YKL080W
YAL041W	YLR229C
YAL041W	YLR371W
YAL041W	YMR168C
YAL041W	YMR190C
YAL041W	YMR224C
YAL041W	YNL232W
YAL041W	YOR144C
YAL041W	YPL008W
YAL041W	YPL115C
YAL041W	YPL161C
YAL042W	YCL043C
YAL043C	YLR418C
YAL043C	YMR190C
YAL044C	YGR274C
YAL047C	YJR053W
YAL047C	YMR055C
YAL053W	YLR342W
YAL053W	YMR307W
YAL053W	YMR307W
YAL053W	YNL322C
YAL053W	YPL221W
YAL054C	YGR274C
YAL054C	YLR153C
YAL055W	YNL192W
YAL058W	YNR036C
YAL059W	YDR101C
YAL059W	YER006W
YAL059W	YFR031C-A
YAL059W	YKL186C
YAL059W	YLR074C
YAL060W	YAL061W
YAL060W	YKL117W
YAL061W	YAL060W
YAL062W	YDL171C
YAL062W	YOR375C
YAR002W	YCR086W
YAR002W	YDL013W
YAR002W	YDL084W
YAR002W	YDR356W
YAR002W	YDR363W
YAR002W	YDR381W
YAR002W	YDR432W
YAR002W	YDR439W
YAR002W	YER116C
YAR002W	YGL097W
YAR002W	YKL057C
YAR002W	YKL113C
YAR002W	YKR082W
YAR002W	YLR335W
YAR002W	YLR418C
YAR002W	YML032C
YAR002W	YMR078C
YAR002W	YNL250W
YAR002W	YNL273W
YAR002W	YOL072W
YAR002W	YOR046C
YAR002W	YOR098C
YAR002W	YOR166C
YAR002W	YPL169C
YAR002W	YPR141C
YAR003W	YDL020C
YAR003W	YDL020C
YAR003W	YDL097C
YAR003W	YDR212W
YAR003W	YDR363W
YAR003W	YDR363W-A
YAR003W	YDR363W-A
YAR003W	YDR392W
YAR003W	YER083C
YAR003W	YFR010W
YAR003W	YFR010W
YAR003W	YGL020C
YAR003W	YGL043W
YAR003W	YGR063C
YAR003W	YGR135W
YAR003W	YGR200C
YAR003W	YHR200W
YAR003W	YHR200W
YAR003W	YIL030C
YAR003W	YLR055C
YAR003W	YLR384C
YAR003W	YMR312W
YAR003W	YOR244W
YAR003W	YPL086C
YAR003W	YPL101W
YAR007C	YBL035C
YAR007C	YGR188C
YAR007C	YHR164C
YAR007C	YKL113C
YAR007C	YMR224C
YAR007C	YNL262W
YAR007C	YOL094C
YAR008W	YGR274C
YAR008W	YNL271C
YAR014C	YER133W
YAR014C	YLR039C
YAR014C	YLR262C
YAR014C	YNL271C
YAR014C	YPR141C
YAR019C	YDL029W
YAR019C	YDL220C
YAR019C	YDR168W
YAR019C	YGR092W
YAR019C	YGR092W
YAR019C	YGR092W
YAR019C	YHR023W
YAR019C	YHR030C
YAR019C	YIL106W
YAR019C	YJL095W
YAR019C	YLR357W
YAR019C	YML064C
YAR019C	YMR001C
YAR019C	YMR001C
YAR019C	YMR001C
YAR019C	YMR089C
YAR019C	YPL242C
YAR035W	YER178W
YBL003C	YCL061C
YBL003C	YDR217C
YBL003C	YHR129C
YBL004W	YJL074C
YBL004W	YLR418C
YBL004W	YNL271C
YBL005W	YMR294W
YBL006C	YCR020W-B
YBL006C	YDR303C
YBL006C	YGR274C
YBL006C	YJL081C
YBL006C	YMR091C
YBL006C	YMR091C
YBL006C	YPL240C
YBL007C	YAL026C
YBL007C	YBL061C
YBL007C	YBR023C
YBL007C	YCR009C
YBL007C	YCR009C
YBL007C	YCR088W
YBL007C	YCR088W
YBL007C	YDR054C
YBL007C	YDR069C
YBL007C	YDR172W
YBL007C	YDR212W
YBL007C	YDR356W
YBL007C	YDR388W
YBL007C	YDR388W
YBL007C	YGR078C
YBL007C	YGR229C
YBL007C	YGR229C
YBL007C	YGR229C
YBL007C	YGR274C
YBL007C	YHR007C
YBL007C	YHR142W
YBL007C	YHR142W
YBL007C	YIR006C
YBL007C	YIR006C
YBL007C	YIR006C
YBL007C	YJL020C
YBL007C	YJL020C
YBL007C	YJR075W
YBL007C	YKL117W
YBL007C	YKR001C
YBL007C	YLL050C
YBL007C	YLR110C
YBL007C	YLR200W
YBL007C	YLR330W
YBL007C	YLR330W
YBL007C	YLR342W
YBL007C	YLR342W
YBL007C	YNL153C
YBL007C	YNL271C
YBL007C	YPL129W
YBL007C	YPL240C
YBL007C	YPR135W
YBL008W	YCR077C
YBL008W	YDR378C
YBL008W	YEL044W
YBL008W	YGL207W
YBL008W	YGR063C
YBL008W	YGR274C
YBL008W	YJL124C
YBL008W	YJL127C
YBL008W	YLR399C
YBL008W	YML069W
YBL008W	YML112W
YBL008W	YNL147W
YBL008W	YOL115W
YBL008W	YOR026W
YBL008W	YPR018W
YBL011W	YKR067W
YBL011W	YKR067W
YBL013W	YPL005W
YBL014C	YMR190C
YBL015W	YHR129C
YBL016W	YJL157C
YBL016W	YKL117W
YBL018C	YGR188C
YBL018C	YLR418C
YBL019W	YBR136W
YBL019W	YDR217C
YBL019W	YGR274C
YBL019W	YKL114C
YBL019W	YKL114C
YBL019W	YKL114C
YBL019W	YKL114C
YBL019W	YKL114C
YBL019W	YML032C
YBL019W	YML058W
YBL019W	YML095C
YBL019W	YML095C
YBL019W	YPL022W
YBL019W	YPL022W
YBL019W	YPL022W
YBL019W	YPL153C
YBL020W	YDR170C
YBL020W	YFL039C
YBL020W	YNL271C
YBL022C	YMR294W
YBL022C	YNR052C
YBL022C	YOR244W
YBL023C	YBR136W
YBL023C	YBR274W
YBL023C	YCL016C
YBL023C	YCR046C
YBL023C	YCR047C
YBL023C	YEL032W
YBL023C	YHR191C
YBL023C	YIL150C
YBL023C	YIL150C
YBL023C	YLR103C
YBL023C	YLR148W
YBL023C	YLR418C
YBL023C	YMR190C
YBL023C	YNL250W
YBL023C	YPL153C
YBL023C	YPL153C
YBL023C	YPR036W
YBL023C	YPR135W
YBL024W	YDL201W
YBL024W	YDL201W
YBL024W	YDR120C
YBL024W	YDR165W
YBL024W	YGR078C
YBL024W	YLR200W
YBL024W	YNL153C
YBL025W	YGR143W
YBL025W	YPL240C
YBL027W	YBR084C-A
YBL027W	YCL029C
YBL027W	YDL220C
YBL028C	YGR274C
YBL030C	YCL004W
YBL030C	YDL198C
YBL030C	YDR212W
YBL030C	YGL187C
YBL030C	YGR132C
YBL030C	YGR231C
YBL030C	YIL142W
YBL030C	YJL014W
YBL030C	YJR077C
YBL030C	YMR056C
YBL030C	YMR190C
YBL030C	YNL083W
YBL030C	YOR065W
YBL030C	YPR024W
YBL030C	YPR024W
YBL031W	YGL216W
YBL031W	YHR129C
YBL032W	YAL021C
YBL032W	YLR371W
YBL033C	YDL020C
YBL034C	YBL079W
YBL034C	YBR107C
YBL034C	YBR194W
YBL034C	YDL122W
YBL034C	YDR016C
YBL034C	YDR159W
YBL034C	YDR254W
YBL034C	YDR318W
YBL034C	YDR424C
YBL034C	YDR432W
YBL034C	YDR488C
YBL034C	YEL003W
YBL034C	YEL003W
YBL034C	YER007W
YBL034C	YER016W
YBL034C	YER095W
YBL034C	YER151C
YBL034C	YGL086W
YBL034C	YGL086W
YBL034C	YGL173C
YBL034C	YGL173C
YBL034C	YGL216W
YBL034C	YGR078C
YBL034C	YGR078C
YBL034C	YGR113W
YBL034C	YGR188C
YBL034C	YGR188C
YBL034C	YHR129C
YBL034C	YHR191C
YBL034C	YIL040W
YBL034C	YJL013C
YBL034C	YJL030W
YBL034C	YJR074W
YBL034C	YJR135C
YBL034C	YKR054C
YBL034C	YLL049W
YBL034C	YLR200W
YBL034C	YLR200W
YBL034C	YLR381W
YBL034C	YLR418C
YBL034C	YML094W
YBL034C	YML094W
YBL034C	YML103C
YBL034C	YML124C
YBL034C	YMR078C
YBL034C	YMR224C
YBL034C	YMR294W
YBL034C	YMR299C
YBL034C	YNL153C
YBL034C	YNL153C
YBL034C	YNL253W
YBL034C	YOR026W
YBL034C	YOR058C
YBL034C	YOR269W
YBL034C	YOR349W
YBL034C	YPL008W
YBL034C	YPL018W
YBL034C	YPL174C
YBL034C	YPL241C
YBL034C	YPL253C
YBL034C	YPL269W
YBL035C	YAR007C
YBL035C	YDR082W
YBL035C	YGR188C
YBL037W	YGR274C
YBL038W	YCL043C
YBL039C	YJR103W
YBL039C	YJR103W
YBL039C	YJR103W
YBL040C	YGL233W
YBL040C	YHR079C
YBL041W	YGR188C
YBL047C	YBL061C
YBL047C	YBR023C
YBL047C	YER125W
YBL047C	YGR274C
YBL047C	YHR030C
YBL047C	YHR118C
YBL047C	YHR142W
YBL047C	YIR006C
YBL047C	YLR206W
YBL047C	YLR330W
YBL047C	YLR342W
YBL047C	YLR342W
YBL047C	YNL084C
YBL047C	YNL084C
YBL047C	YNL233W
YBL047C	YNL298W
YBL047C	YNL298W
YBL050W	YAL030W
YBL050W	YBR080C
YBL050W	YDL014W
YBL050W	YGL223C
YBL050W	YKR068C
YBL050W	YOR144C
YBL050W	YOR327C
YBL051C	YHR030C
YBL051C	YJL095W
YBL051C	YLR200W
YBL051C	YNL271C
YBL051C	YNL271C
YBL052C	YDR448W
YBL052C	YER164W
YBL052C	YGR252W
YBL052C	YGR252W
YBL052C	YKR008W
YBL052C	YLR095C
YBL054W	YGR274C
YBL056W	YER089C
YBL056W	YOR208W
YBL056W	YPL075W
YBL058W	YAL024C
YBL058W	YCL043C
YBL058W	YDL020C
YBL058W	YEL061C
YBL058W	YER133W
YBL058W	YGL116W
YBL058W	YGR002C
YBL058W	YJL115W
YBL058W	YKL193C
YBL058W	YLR371W
YBL058W	YMR078C
YBL058W	YMR223W
YBL058W	YMR311C
YBL058W	YPL047W
YBL058W	YPL240C
YBL061C	YBL007C
YBL061C	YBL047C
YBL061C	YBL067C
YBL061C	YBL069W
YBL061C	YBL072C
YBL061C	YBR234C
YBL061C	YBR234C
YBL061C	YCR009C
YBL061C	YDL029W
YBL061C	YDL029W
YBL061C	YDL223C
YBL061C	YDR129C
YBL061C	YDR129C
YBL061C	YDR207C
YBL061C	YDR245W
YBL061C	YDR245W
YBL061C	YDR377W
YBL061C	YDR388W
YBL061C	YDR388W
YBL061C	YDR388W
YBL061C	YEL031W
YBL061C	YER111C
YBL061C	YFL036W
YBL061C	YFR019W
YBL061C	YGL084C
YBL061C	YGL084C
YBL061C	YGR229C
YBL061C	YGR229C
YBL061C	YGR229C
YBL061C	YGR229C
YBL061C	YGR229C
YBL061C	YHR030C
YBL061C	YHR107C
YBL061C	YJL095W
YBL061C	YJL095W
YBL061C	YJL148W
YBL061C	YJR073C
YBL061C	YJR118C
YBL061C	YJR118C
YBL061C	YKL079W
YBL061C	YKL126W
YBL061C	YKL176C
YBL061C	YLL043W
YBL061C	YLR087C
YBL061C	YLR110C
YBL061C	YLR268W
YBL061C	YLR337C
YBL061C	YLR337C
YBL061C	YLR342W
YBL061C	YLR342W
YBL061C	YLR342W
YBL061C	YLR342W
YBL061C	YLR342W
YBL061C	YLR342W
YBL061C	YLR370C
YBL061C	YLR425W
YBL061C	YML115C
YBL061C	YML115C
YBL061C	YMR089C
YBL061C	YMR307W
YBL061C	YMR307W
YBL061C	YNL079C
YBL061C	YNL079C
YBL061C	YNL271C
YBL061C	YNL271C
YBL061C	YNL298W
YBL061C	YNL298W
YBL061C	YNL298W
YBL061C	YNR051C
YBL061C	YOR035C
YBL061C	YOR326W
YBL061C	YPL193W
YBL063W	YEL061C
YBL063W	YEL061C
YBL063W	YEL061C
YBL063W	YEL061C
YBL063W	YEL061C
YBL063W	YEL061C
YBL063W	YER111C
YBL063W	YLR182W
YBL063W	YOR195W
YBL063W	YPR119W
YBL066C	YGR274C
YBL067C	YBL061C
YBL068W	YER099C
YBL069W	YBL061C
YBL071W-A	YAL020C
YBL072C	YBL061C
YBL072C	YBR023C
YBL072C	YER102W
YBL072C	YGR274C
YBL072C	YLR330W
YBL074C	YLR418C
YBL074C	YMR224C
YBL075C	YNL064C
YBL076C	YGR188C
YBL079W	YBL034C
YBL079W	YDR212W
YBL079W	YER105C
YBL079W	YJL061W
YBL079W	YKL057C
YBL079W	YKR082W
YBL079W	YLR018C
YBL079W	YLR079W
YBL079W	YLR335W
YBL079W	YLR347C
YBL079W	YMR129W
YBL079W	YMR129W
YBL079W	YOR098C
YBL079W	YOR098C
YBL079W	YPL075W
YBL081W	YPL153C
YBL082C	YHR079C
YBL082C	YNL048W
YBL084C	YFR036W
YBL084C	YHR166C
YBL085W	YGR274C
YBL087C	YER117W
YBL087C	YNL298W
YBL088C	YBR136W
YBL088C	YHR164C
YBL088C	YMR284W
YBL089W	YKL117W
YBL090W	YHR129C
YBL091C	YLR244C
YBL092W	YLR418C
YBL092W	YMR190C
YBL092W	YMR224C
YBL092W	YPR135W
YBL095W	YER133W
YBL097W	YCR077C
YBL097W	YDR110W
YBL097W	YDR289C
YBL097W	YDR325W
YBL097W	YDR439W
YBL097W	YEL061C
YBL097W	YER016W
YBL097W	YFR031C
YBL097W	YGR078C
YBL097W	YGR218W
YBL097W	YKR010C
YBL097W	YLR418C
YBL097W	YML094W
YBL097W	YNL064C
YBL097W	YNL250W
YBL097W	YOL006C
YBL097W	YOR058C
YBL097W	YPR135W
YBL097W	YPR141C
YBL098W	YDL182W
YBL098W	YDR234W
YBL098W	YIL094C
YBL098W	YKR039W
YBL098W	YNL268W
YBL098W	YOR209C
YBL098W	YOR209C
YBL099W	YER014W
YBL099W	YGR244C
YBL099W	YHR090C
YBL099W	YIL125W
YBL099W	YKL141W
YBL099W	YLL009C
YBL099W	YLR348C
YBL099W	YPL045W
YBL099W	YPL262W
YBL101C	YGR229C
YBL101C	YGR229C
YBL101C	YHR129C
YBL101C	YLR330W
YBL101C	YMR294W
YBL101C	YNL206C
YBL101C	YOR322C
YBL102W	YDR495C
YBL102W	YLR026C
YBL102W	YLR262C
YBL102W	YMR292W
YBL103C	YCL043C
YBL103C	YDR162C
YBL103C	YPL240C
YBL105C	YBR173C
YBL105C	YCR017C
YBL105C	YCR020W-B
YBL105C	YCR044C
YBL105C	YCR068W
YBL105C	YDL056W
YBL105C	YDL203C
YBL105C	YDR217C
YBL105C	YER111C
YBL105C	YER111C
YBL105C	YER111C
YBL105C	YER111C
YBL105C	YER111C
YBL105C	YER111C
YBL105C	YGL035C
YBL105C	YGL086W
YBL105C	YGR229C
YBL105C	YIL076W
YBL105C	YIL126W
YBL105C	YJL062W
YBL105C	YJL074C
YBL105C	YJL095W
YBL105C	YJR073C
YBL105C	YKR054C
YBL105C	YLL021W
YBL105C	YLL021W
YBL105C	YLR087C
YBL105C	YLR342W
YBL105C	YMR190C
YBL105C	YMR198W
YBL105C	YMR224C
YBL105C	YMR294W
YBL105C	YMR307W
YBL105C	YNL271C
YBL105C	YNL291C
YBL105C	YOR085W
YBL105C	YPL008W
YBL105C	YPL018W
YBL105C	YPL037C
YBL105C	YPR106W
YBL105C	YPR120C
YBL107C	YPL240C
YBR002C	YHR007C
YBR002C	YHR030C
YBR002C	YMR101C
YBR003W	YGR274C
YBR004C	YJL074C
YBR004C	YNL330C
YBR004C	YPL055C
YBR005W	YGR274C
YBR006W	YGR019W
YBR006W	YMR250W
YBR009C	YDR138W
YBR009C	YDR225W
YBR009C	YDR332W
YBR009C	YGR252W
YBR009C	YJL115W
YBR009C	YJL115W
YBR009C	YJL127C
YBR010W	YCL061C
YBR010W	YDR138W
YBR010W	YDR359C
YBR010W	YFL024C
YBR010W	YGR002C
YBR010W	YGR252W
YBR010W	YGR252W
YBR010W	YHR090C
YBR010W	YIR009W
YBR010W	YJL081C
YBR010W	YJL127C
YBR010W	YKR008W
YBR010W	YLR015W
YBR010W	YLR153C
YBR010W	YLR320W
YBR010W	YNL273W
YBR010W	YOR244W
YBR010W	YPL213W
