abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0041	3-(4-hydroxyphenyl-)lactate formation	(1) s_0763_b + (1) s_1087 + (1) s_0209 <==> (1) s_1082 + (1) s_0208	reversible	NA	0	1000	0		
r_0042	3-dehydroquinate dehydratase	(1) s_0216 <==> (1) s_1434_b + (1) s_0217	reversible	NA	0	1000	0	(YDR127W)	
r_0043	3-dehydroquinate synthase	(1) s_0356 <==> (1) s_1207 + (1) s_0216	reversible	NA	0	1000	0	(YDR127W)	
r_0044	3-dehydrosphinganine reductase	(2) s_0763_b + (1) s_1096 + (1) s_0218 <==> (1) s_1091 + (1) s_1325	reversible	NA	-1000	1000	0	(YBR265W)	
r_0046	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	(0.5) s_1160 + (1) s_0222 <==> (1) s_0219	reversible	NA	0	1000	0		
r_0047	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	(1) s_0763_b + (1) s_0221 <==> (1) s_0470 + (1) s_0162	reversible	NA	0	1000	0		
r_0048	3-hydroxy-L-kynurenine hydrolase	(1) s_1434_b + (1) s_0229 <==> (1) s_0231 + (1) s_0863	reversible	NA	0	1000	0	(YLR231C)	
r_0049	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	(1) s_0043 <==> (1) s_1434_b + (1) s_1383	reversible	NA	-1000	1000	0	(YKR009C)	
r_0050	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	(1) s_0049 <==> (1) s_1434_b + (1) s_1386	reversible	NA	-1000	1000	0	(YKR009C)	
r_0051	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA)	(1) s_1434_b + (1) s_1389 <==> (1) s_0046	reversible	NA	-1000	1000	0	(YKR009C)	
r_0052	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	(1) s_0052 <==> (1) s_1434_b + (1) s_0782	reversible	NA	-1000	1000	0	(YKR009C)	
r_0053	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	(1) s_0234 <==> (1) s_1434_b + (1) s_1392	reversible	NA	-1000	1000	0	(YKR009C)	
r_0054	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	(1) s_0055 <==> (1) s_1434_b + (1) s_1395	reversible	NA	-1000	1000	0	(YKR009C)	
r_0055	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(1) s_0763_b + (1) s_1087 + (1) s_0243 <==> (1) s_1082 + (1) s_0043	reversible	NA	-1000	1000	0	(YKR009C)	
r_0056	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(1) s_0763_b + (1) s_1087 + (1) s_0251 <==> (1) s_1082 + (1) s_0049	reversible	NA	-1000	1000	0	(YKR009C)	
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA)	(1) s_1082 + (1) s_0046 <==> (1) s_0763_b + (1) s_1087 + (1) s_0247	reversible	NA	-1000	1000	0	(YKR009C)	
r_0058	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	(1) s_0763_b + (1) s_1087 + (1) s_0257 <==> (1) s_1082 + (1) s_0052	reversible	NA	-1000	1000	0	(YKR009C)	
r_0059	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)	(1) s_0763_b + (1) s_1087 + (1) s_0254 <==> (1) s_1082 + (1) s_0234	reversible	NA	-1000	1000	0	(YKR009C)	
r_0060	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(1) s_0763_b + (1) s_1087 + (1) s_0261 <==> (1) s_1082 + (1) s_0055	reversible	NA	-1000	1000	0	(YKR009C)	
r_0061	3-hydroxyanthranilate 3,4-dioxygenase	(1) s_1160 + (1) s_0231 <==> (1) s_0763_b + (1) s_0151	reversible	NA	0	1000	0	(YJR025C)	
r_0062	3-isopropylmalate 3-methyltransferase	(1) s_1293 + (1) s_0008 <==> (1) s_1290 + (1) s_0224	reversible	NA	0	1000	0	(YER175C)	
r_0063	3-isopropylmalate dehydratase	(1) s_0008 <==> (1) s_1434_b + (1) s_0170	reversible	NA	-1000	1000	0	(YGL009C)	
r_0064	3-isopropylmalate dehydrogenase	(1) s_1082 + (1) s_0008 <==> (1) s_0763_b + (1) s_1087 + (1) s_0010	reversible	NA	0	1000	0	(YCL018W)	
r_0065	3-methyl-2-oxobutanoate decarboxylase	(1) s_0763_b + (1) s_0238 <==> (1) s_0470 + (1) s_0844	reversible	NA	0	1000	0	((YGR087C) or (YLR044C) or (YLR134W))	
r_0066	3-methyl-2-oxobutanoate hydroxymethyltransferase	(1) s_1434_b + (1) s_0238 + (1) s_0307 <==> (1) s_0153 + (1) s_0309	reversible	NA	0	1000	0	(YBR176W)	
r_0067	3-methyl-2-oxopentanoate decarboxylase	(1) s_0763_b + (1) s_0058 <==> (1) s_0470 + (1) s_0174	reversible	NA	0	1000	0	((YDL080C) or (YDR380W) or (YGR087C) or (YLR044C) or (YLR134W))	
r_0068	3-phosphoshikimate 1-carboxyvinyltransferase	(1) s_1243 + (1) s_0267 <==> (1) s_1207 + (1) s_0330	reversible	NA	0	1000	0	(YDR127W)	
r_0069	4-acetamidobutyrate deacetylase	(1) s_1434_b + (1) s_0272 <==> (1) s_0369 + (1) s_0700	reversible	NA	0	1000	0		
r_0070	4-amino-4-deoxychorismate synthase	(1) s_0500 + (1) s_0907 <==> (1) s_0899 + (1) s_0275	reversible	NA	0	1000	0	(YNR033W)	
r_0071	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	(2) s_0763_b + (1) s_0316 <==> (1) s_1207 + (1) s_0276 + (1) s_0745	reversible	NA	0	1000	0		
r_0072	4-aminobenzoate synthase	(1) s_0275 <==> (1) s_1277 + (1) s_0763_b + (1) s_0277	reversible	NA	0	1000	0	(YMR289W)	
r_0073	4-aminobutyrate transaminase	(1) s_0185 + (1) s_0700 <==> (1) s_0899 + (1) s_1341	reversible	NA	0	1000	0	(YGR019W)	
r_0074	4-hydroxy-L-threonine synthase	(1) s_1434_b + (1) s_0270 <==> (1) s_1207 + (1) s_0291	reversible	NA	0	1000	0	(YCR053W)	
r_0075	4-hydroxybenzoate formation	(1) s_1434_b + (1) s_0294 <==> (1) s_0763_b + (1) s_0514 + (1) s_0292	reversible	NA	0	1000	0		
r_0076	4-hydroxybenzoyl-CoA formation	(1) s_1082 + (1) s_1434_b + (1) s_0514 + (1) s_0282 <==> (1) s_0763_b + (1) s_1087 + (1) s_0380 + (1) s_0294	reversible	NA	0	1000	0		
r_0077	4-hydroxycinnamate formation	(1) s_0208 <==> (1) s_1434_b + (1) s_1378	reversible	NA	0	1000	0		
r_0078	4-methyl-2-oxopentanoate decarboxylase	(1) s_0763_b + (1) s_0297 <==> (1) s_0470 + (1) s_0240	reversible	NA	0	1000	0	((YDL080C) or (YDR380W))	
r_0079	4PP-IP5 depyrophosphorylation to IP6	(1) s_1434_b + (1) s_0285 <==> (2) s_0763_b + (1) s_1207 + (1) s_1026	reversible	NA	-1000	1000	0	((YLR410W) or (YOR163W))	
r_0080	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	(2) s_0763_b + (1) s_1207 + (1) s_0285 <==> (1) s_1434_b + (1) s_0269	reversible	NA	-1000	1000	0	(YDR017C)	
r_0081	5'-methylthioadenosine phosphorylase	(1) s_1207 + (1) s_0305 <==> (1) s_0390 + (1) s_1299	reversible	NA	0	1000	0	(YLR017W)	
r_0082	5'-nucleotidase (AMP)	(1) s_1434_b + (1) s_0434 <==> (1) s_1207 + (1) s_0393	reversible	NA	0	1000	0		
r_0083	5'-nucleotidase (CMP)	(1) s_1434_b + (1) s_0511 <==> (1) s_1207 + (1) s_0525	reversible	NA	0	1000	0	(YGL224C)	
r_0084	5'-nucleotidase (dAMP)	(1) s_1434_b + (1) s_0564 <==> (1) s_1207 + (1) s_0134	reversible	NA	0	1000	0		
r_0085	5'-nucleotidase (dCMP)	(1) s_1434_b + (1) s_0569 <==> (1) s_1207 + (1) s_0136	reversible	NA	0	1000	0		
r_0086	5'-nucleotidase (dGMP)	(1) s_1434_b + (1) s_0593 <==> (1) s_1207 + (1) s_0138	reversible	NA	0	1000	0		
r_0087	5'-nucleotidase (dTMP)	(1) s_1434_b + (1) s_0619 <==> (1) s_1207 + (1) s_1373	reversible	NA	0	1000	0		
r_0088	5'-nucleotidase (dUMP)	(1) s_1434_b + (1) s_0624 <==> (1) s_1207 + (1) s_0142	reversible	NA	0	1000	0		
r_0089	5'-nucleotidase (GMP)	(1) s_1434_b + (1) s_0752 <==> (1) s_1207 + (1) s_0760	reversible	NA	0	1000	0		
r_0090	5'-nucleotidase (IMP)	(1) s_1434_b + (1) s_0816 <==> (1) s_1207 + (1) s_0822	reversible	NA	0	1000	0	(YOR155C)	
r_0091	5'-nucleotidase (UMP)	(1) s_1434_b + (1) s_1417 <==> (1) s_1207 + (1) s_1427	reversible	NA	0	1000	0	(YGL224C)	
r_0092	5'-nucleotidase (XMP)	(1) s_1434_b + (1) s_0306 <==> (1) s_1207 + (1) s_1443	reversible	NA	0	1000	0		
r_0093	5,10-methylenetetrahydrofolatereductase (NADPH)	(2) s_0763_b + (1) s_1096 + (1) s_0307 <==> (1) s_1091 + (1) s_0328	reversible	NA	0	1000	0	(YGL125W)	
r_0094	5-aminolevulinate synthase	(1) s_0763_b + (1) s_0740 + (1) s_1342 <==> (1) s_0514 + (1) s_0470 + (1) s_0321	reversible	NA	0	1000	0	(YDR232W)	
r_0095	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	(1) s_1434_b + (1) s_0324 <==> (2) s_0763_b + (1) s_1207 + (1) s_1026	reversible	NA	0	1000	0	(YOR163W)	
r_0096	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	(1) s_0763_b + (1) s_0446 + (1) s_1026 <==> (1) s_0400 + (1) s_0324	reversible	NA	0	1000	0	(YDR017C)	
r_0097	5-formethyltetrahydrofolate cyclo-ligase	(1) s_0446 + (1) s_0326 <==> (1) s_0400 + (1) s_1207 + (1) s_0015	reversible	NA	0	1000	0	(YER183C)	
r_0099	5-formyltetrahydrofolate:10-formyltetrahydrofolate isomerase	(1) s_1434_b + (1) s_0446 + (1) s_0326 <==> (1) s_0763_b + (1) s_0400 + (1) s_1207 + (1) s_0122	reversible	NA	0	1000	0		
r_0100	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	(1) s_0329 + (1) s_0917 <==> (1) s_0933 + (1) s_1362	reversible	NA	0	1000	0	(YER091C)	
r_0101	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	(1) s_1300 <==> (1) s_1434_b + (1) s_0314	reversible	NA	0	1000	0		
r_0102	5-methylthioribose-1-phosphate isomerase	(1) s_1299 <==> (1) s_1300	reversible	NA	-1000	1000	0		
r_0103	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	(2) s_0763_b + (1) s_1207 + (1) s_0324 <==> (1) s_1434_b + (1) s_0269	reversible	NA	-1000	1000	0	(YLR410W)	
r_0104	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	(2) s_0763_b + (1) s_1207 + (1) s_0324 <==> (1) s_1434_b + (1) s_0312	reversible	NA	-1000	1000	0	(YLR410W)	
r_0105	6-phosphofructo-2-kinase	(1) s_0446 + (1) s_0539 <==> (1) s_0763_b + (1) s_0400 + (1) s_0454	reversible	NA	0	1000	0	((YIL107C) or (YOL136C))	
r_0106	6-phosphogluconolactonase	(1) s_1434_b + (1) s_0342 <==> (1) s_0763_b + (1) s_0347	reversible	NA	0	1000	0	((YCR073W-A) or (YGR248W) or (YHR163W) or (YNR034W))	
r_0107	6PP-IP5 depyrophosphorylation to IP6	(1) s_1434_b + (1) s_0340 <==> (2) s_0763_b + (1) s_1207 + (1) s_1026	reversible	NA	-1000	1000	0	((YLR410W) or (YOR163W))	
r_0108	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	(2) s_0763_b + (1) s_1207 + (1) s_0340 <==> (1) s_1434_b + (1) s_0312	reversible	NA	-1000	1000	0	(YDR017C)	
r_0109	8-amino-7-oxononanoate synthase	(1) s_0863 + (1) s_1249 <==> (4) s_0763_b + (1) s_0514 + (1) s_0470 + (1) s_0358	reversible	NA	-1000	1000	0		
r_0110	acetaldehyde condensation	(2) s_0366 <==> (1) s_0023	reversible	NA	0	1000	0	((YGR087C) or (YLR044C) or (YLR134W))	
r_0111	acetohydroxy acid isomeroreductase	(1) s_0763_b + (1) s_1096 + (1) s_0150 <==> (1) s_1091 + (1) s_0018	reversible	NA	0	1000	0	(YLR355C)	
r_0112	acetolactate synthase	(2) s_1277 + (1) s_0763_b <==> (1) s_0470 + (1) s_0150	reversible	NA	0	1000	0	((YCL009C) and (YMR108W))	
r_0113	acetyl-CoA ACP transacylase	(1) s_0380 + (1) s_1495_b <==> (1) s_0514 + (1) s_0378	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0115	acetyl-CoA acyltransferase (hexadecanoyl-CoA)	(1) s_0514 + (1) s_0254 <==> (1) s_0380 + (1) s_1187	reversible	NA	0	1000	0	(YIL160C)	
r_0116	acetyl-CoA acyltransferase (tetracosanoyl-CoA)	(1) s_0514 + (1) s_0247 <==> (1) s_0380 + (1) s_1355	reversible	NA	0	1000	0	(YIL160C)	
r_0117	acetyl-CoA acyltransferase (tetradecanoyl-CoA)	(1) s_0514 + (1) s_0257 <==> (1) s_0380 + (1) s_1044	reversible	NA	0	1000	0	(YIL160C)	
r_0118	acetyl-CoA C-acetyltransferase	(2) s_0380 <==> (1) s_0514 + (1) s_0374	reversible	NA	0	1000	0	(YPL028W)	
r_0120	acetyl-CoA C-acetyltransferase (dodecanoyl)	(1) s_0514 + (1) s_0261 <==> (1) s_0380 + (1) s_0977	reversible	NA	0	1000	0	(YIL160C)	
r_0121	acetyl-CoA C-acetyltransferase (octanoyl-CoA)	(1) s_0514 + (1) s_0243 <==> (1) s_0380 + (1) s_1140	reversible	NA	0	1000	0	(YIL160C)	
r_0122	acetyl-CoA C-acyltransferase (decanoyl-CoA)	(1) s_0514 + (1) s_0251 <==> (1) s_0380 + (1) s_0582	reversible	NA	0	1000	0	(YIL160C)	
r_0123	acetyl-Coa carboxylase	(1) s_0446 + (1) s_0380 + (1) s_0458 <==> (1) s_0763_b + (1) s_0400 + (1) s_1207 + (1) s_1005	reversible	NA	-1000	1000	0	(YMR207C)	
r_0125	acetyl-CoA hydrolase	(1) s_0763_b + (1) s_0514 + (1) s_0369 <==> (1) s_1434_b + (1) s_0380	reversible	NA	-1000	1000	0	(YBL015W)	
r_0126	acetyl-CoA hydrolase	(1) s_1434_b + (1) s_0380 <==> (1) s_0763_b + (1) s_0514 + (1) s_0369	reversible	NA	0	1000	0	(YBL015W)	
r_0127	acetyl-CoA synthetase	(1) s_0514 + (1) s_0446 + (1) s_0369 <==> (1) s_0434 + (1) s_0380 + (1) s_0605	reversible	NA	0	1000	0	((YAL054C) or (YLR153C))	
r_0130	acetylglutamate kinase	(1) s_0446 + (1) s_1071 <==> (1) s_0400 + (1) s_1070	reversible	NA	0	1000	0	(YER069W)	
r_0131	acid phosphatase (secreted)	(1) s_0684_b + (1) s_1436_b <==> (1) s_1209_b + (1) s_1284_b	reversible	NA	0	0	0	((YAR071W) or (YBR093C))	
r_0132	aconitase	(1) s_0179 <==> (1) s_0012	reversible	NA	-1000	1000	0	(YPR002W)	
r_0133	acteylornithine transaminase	(1) s_0899 + (1) s_0149 <==> (1) s_0185 + (1) s_1051	reversible	NA	0	1000	0	(YOL140W)	
r_0134	acyl carrier protein synthase	(1) s_1434_b + (1) s_0514 <==> (2) s_0763_b + (1) s_0397 + (1) s_1192	reversible	NA	0	1000	0	(YPL148C)	
r_0135	acyl-CoA oxidase (decanoyl-CoA)	(1) s_1160 + (1) s_0582 <==> (1) s_1383 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0136	acyl-CoA oxidase (dodecanoyl-CoA)	(1) s_1160 + (1) s_0977 <==> (1) s_1386 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0137	acyl-CoA oxidase (hexacanoyl-CoA)	(1) s_1160 + (1) s_0778 <==> (1) s_1389 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0138	acyl-CoA oxidase (hexadecanoyl-CoA)	(1) s_1160 + (1) s_1187 <==> (1) s_0782 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0139	acyl-CoA oxidase (octadecanoyl-CoA)	(1) s_1160 + (1) s_1334 <==> (1) s_1392 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0140	acyl-CoA oxidase (tetradecanoyl-CoA)	(1) s_1160 + (1) s_1044 <==> (1) s_1395 + (1) s_0801	reversible	NA	0	1000	0	(YGL205W)	
r_0141	acyl-CoA:sterol acyltransferase	(1) s_0627 + (1) s_1147 <==> (1) s_0514 + (1) s_0630	reversible	NA	-1000	1000	0	(YCR048W)	
r_0142	acyl-CoA:sterol acyltransferase	(1) s_1147 + (1) s_0635 <==> (1) s_0514 + (1) s_0645	reversible	NA	-1000	1000	0	((YCR048W) or (YNR019W))	
r_0143	acyl-CoA:sterol acyltransferase	(1) s_1147 + (1) s_0669 <==> (1) s_0514 + (1) s_0677	reversible	NA	-1000	1000	0	(YCR048W)	
r_0144	acyl-CoA:sterol acyltransferase	(1) s_1147 + (1) s_0963 <==> (1) s_0514 + (1) s_0966	reversible	NA	-1000	1000	0	(YCR048W)	
r_0145	acyl-CoA:sterol acyltransferase	(1) s_1147 + (1) s_1447 <==> (1) s_0514 + (1) s_1459	reversible	NA	-1000	1000	0	(YCR048W)	
r_0146	acyl-CoA:sterol acyltransferase	(1) s_0627 + (1) s_1184 <==> (1) s_0514 + (1) s_0631	reversible	NA	-1000	1000	0	(YCR048W)	
r_0147	acyl-CoA:sterol acyltransferase	(1) s_0635 + (1) s_1184 <==> (1) s_0514 + (1) s_0646	reversible	NA	-1000	1000	0	((YCR048W) or (YNR019W))	
r_0148	acyl-CoA:sterol acyltransferase	(1) s_0669 + (1) s_1184 <==> (1) s_0514 + (1) s_0678	reversible	NA	-1000	1000	0	(YCR048W)	
r_0149	acyl-CoA:sterol acyltransferase	(1) s_0963 + (1) s_1184 <==> (1) s_0514 + (1) s_0967	reversible	NA	-1000	1000	0	(YCR048W)	
r_0150	acyl-CoA:sterol acyltransferase	(1) s_1447 + (1) s_1184 <==> (1) s_0514 + (1) s_1460	reversible	NA	-1000	1000	0	(YCR048W)	
r_0151	acyl-protein thioesterase	(1) s_2636 <==> (1) s_2635	reversible	NA	-1000	1000	0	(YLR118C)	
r_0152	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	(1) s_1187 + (1) s_0336 <==> (1) s_0514 + (1) s_0337	reversible	NA	-1000	1000	0	(YJL091C)	
r_0153	adenine deaminase	(1) s_0763_b + (1) s_1434_b + (1) s_0390 <==> (1) s_0430 + (1) s_0808	reversible	NA	0	1000	0	(YNL141W)	
r_0154	adenine phosphoribosyltransferase	(1) s_0390 + (1) s_0331 <==> (1) s_0434 + (1) s_0605	reversible	NA	0	1000	0	(YML022W)	
r_0155	adenosine deaminase	(1) s_0763_b + (1) s_1434_b + (1) s_0393 <==> (1) s_0430 + (1) s_0822	reversible	NA	0	1000	0	(YNL141W)	
r_0156	adenosine hydrolase	(1) s_1434_b + (1) s_0393 <==> (1) s_0390 + (1) s_0555	reversible	NA	0	1000	0	(YDR400W)	
r_0157	adenosine kinase	(1) s_0446 + (1) s_0393 <==> (1) s_0763_b + (1) s_0400 + (1) s_0434	reversible	NA	0	1000	0	(YJR105W)	
r_0158	adenosine monophosphate deaminase	(1) s_0763_b + (1) s_1434_b + (1) s_0434 <==> (1) s_0430 + (1) s_0816	reversible	NA	0	1000	0	(YML035C)	
r_0159	adenosylhomocysteinase	(1) s_1434_b + (1) s_1290 <==> (1) s_0393 + (1) s_0917	reversible	NA	0	1000	0	(YER043C)	
r_0160	adenosylmethionine decarboxylase	(1) s_0763_b + (1) s_1293 <==> (1) s_0470 + (1) s_1297	reversible	NA	0	1000	0	(YOL052C)	
r_0161	adenosylmethionine-8-amino-7-oxononanoate transaminase	(1) s_1293 + (1) s_0358 <==> (1) s_0348 + (1) s_1289	reversible	NA	-1000	1000	0	(YNR058W)	
